Produto,Preço,Descrição,Cidade
"MacBook Pro M2 Pro 14"" 16GB RAM 512GB SSD",R$ 14.999,"MacBook Pro M2 Pro em estado de novo, com apenas 3 meses de uso. Acompanha todos os acessórios originais, caixa e nota fiscal.","Florianópolis, SC"
PC Gamer RTX 4070 Ti / Ryzen 7 7700X,R$ 12.500,"Computador gamer de alto desempenho, montado há 2 meses. Ideal para jogos em 4K e trabalhos pesados de edição.","Joinville, SC"
Acer Gamer Desktop i9-13900K 32GB 4TB SSD,R$ 11.775,"Computador gamer Acer com processador Intel Core i9-13900K, 32GB de memória RAM, 4TB SSD de armazenamento, placa de vídeo NVIDIA RTX 4070 Ti. Ideal para jogos e uso profissional.","Jaraguá do Sul, SC"
HP Notebook 9 32GB 256GB SSD,R$ 8.887,"Notebook HP com processador AMD Ryzen 9 5950X, 32GB de memória RAM, 256GB SSD de armazenamento. Excelente para trabalho.","Lages, SC"
Samsung Notebook Pro 64GB 256GB SSD,R$ 6.878,"Notebook Samsung com processador Apple M2 Pro, 64GB de memória RAM, 256GB SSD de armazenamento. Excelente para trabalho.","Blumenau, SC"
Dell Gamer Notebook i9-12900K 16GB 256GB SSD,R$ 9.083,"Notebook gamer Dell com processador Intel Core i9-12900K, 16GB de memória RAM, 256GB SSD de armazenamento, placa de vídeo NVIDIA RTX 4070. Excelente para jogos e trabalho.","Chapecó, SC"
Acer Desktop 9 16GB 2TB SSD,R$ 6.638,"Computador Acer com processador AMD Ryzen 9 5950X, 16GB de memória RAM, 2TB SSD de armazenamento. Ideal para uso profissional.","Lages, SC"
Gigabyte Notebook Pro 8GB 512GB SSD,R$ 6.165,"Notebook Gigabyte com processador Apple M2 Pro, 8GB de memória RAM, 512GB SSD de armazenamento. Excelente para trabalho.","Brusque, SC"
HP Gamer Notebook 9 8GB 1TB SSD,R$ 4.319,"Notebook gamer HP com processador AMD Ryzen 9 5950X, 8GB de memória RAM, 1TB SSD de armazenamento, placa de vídeo NVIDIA RTX 4070 Ti. Excelente para jogos e trabalho.","Criciúma, SC"
Lenovo Desktop 9 32GB 4TB SSD,R$ 4.964,"Computador Lenovo com processador AMD Ryzen 9 7950X, 32GB de memória RAM, 4TB SSD de armazenamento. Ideal para uso profissional.","Blumenau, SC"
Gigabyte Desktop i5-13600K 32GB 256GB SSD,R$ 10.885,"Computador Gigabyte com processador Intel Core i5-13600K, 32GB de memória RAM, 256GB SSD de armazenamento. Ideal para uso profissional.","Joinville, SC"
Apple Desktop i9-13900K 8GB 1TB SSD,R$ 7.210,"Computador Apple com processador Intel Core i9-13900K, 8GB de memória RAM, 1TB SSD de armazenamento. Ideal para uso profissional.","Blumenau, SC"
HP Desktop 7 16GB 4TB SSD,R$ 5.718,"Computador HP com processador AMD Ryzen 7 7700X, 16GB de memória RAM, 4TB SSD de armazenamento. Ideal para uso profissional.","Criciúma, SC"
Acer Notebook 9 16GB 512GB SSD,R$ 4.930,"Notebook Acer com processador AMD Ryzen 9 7950X, 16GB de memória RAM, 512GB SSD de armazenamento. Excelente para trabalho.","Brusque, SC"
Gigabyte Gamer Notebook 9 16GB 512GB SSD,R$ 4.167,"Notebook gamer Gigabyte com processador AMD Ryzen 9 5950X, 16GB de memória RAM, 512GB SSD de armazenamento, placa de vídeo NVIDIA RTX 4070 Ti. Excelente para jogos e trabalho.","Chapecó, SC"
Apple Desktop undefined 16GB 2TB SSD,R$ 3.590,"Computador Apple com processador Apple M2, 16GB de memória RAM, 2TB SSD de armazenamento. Ideal para uso profissional.","Lages, SC"
HP Gamer Notebook 5 64GB 256GB SSD,R$ 7.529,"Notebook gamer HP com processador AMD Ryzen 5 7600X, 64GB de memória RAM, 256GB SSD de armazenamento, placa de vídeo NVIDIA RTX 3080. Excelente para jogos e trabalho.","Criciúma, SC"
Gigabyte Desktop Pro 16GB 256GB SSD,R$ 8.435,"Computador Gigabyte com processador Apple M2 Pro, 16GB de memória RAM, 256GB SSD de armazenamento. Ideal para uso profissional.","Criciúma, SC"
Asus Notebook i9-13900K 16GB 2TB SSD,R$ 9.786,"Notebook Asus com processador Intel Core i9-13900K, 16GB de memória RAM, 2TB SSD de armazenamento. Excelente para trabalho.","Criciúma, SC"
HP Desktop 9 16GB 4TB SSD,R$ 3.236,"Computador HP com processador AMD Ryzen 9 5950X, 16GB de memória RAM, 4TB SSD de armazenamento. Ideal para uso profissional.","Florianópolis, SC"
Asus Desktop i7-13700K 64GB 256GB SSD,R$ 4.589,"Computador Asus com processador Intel Core i7-13700K, 64GB de memória RAM, 256GB SSD de armazenamento. Ideal para uso profissional.","Criciúma, SC"
Lenovo Desktop 9 16GB 2TB SSD,R$ 5.735,"Computador Lenovo com processador AMD Ryzen 9 7950X, 16GB de memória RAM, 2TB SSD de armazenamento. Ideal para uso profissional.","Florianópolis, SC"
"iMac M1 24"" 8GB RAM 256GB SSD Azul",R$ 9.999,"iMac M1 na cor azul, comprado há 6 meses. Perfeito estado de conservação, ideal para trabalhos criativos.","Balneário Camboriú, SC"
Acer Notebook i5-13600K 16GB 512GB SSD,R$ 10.855,"Notebook Acer com processador Intel Core i5-13600K, 16GB de memória RAM, 512GB SSD de armazenamento. Excelente para trabalho.","Balneário Camboriú, SC"
